,sentiment_label,text
0,0,horrible  disappointed overall performance
1,0,camera quality like 48 megapixel camera quality low
2,1,overall got  launch datebattery must appreciatedcamera averagemobile performance average90hz refresh rate u r buying  feature im afraid u may get disappointed normalthe usb cable small lengthits   budget return replacement available hence choose wisely buying
3,0,big 1 doesnt work 50ghz wifi frequency 24ghz old school2 camera quality pathetic front back forget 48mp picture blur poorer 4mp one3  didnt allow write review sold stock something fishy4 return policy live  didnt like decide
4,0,put money somewhere else worth buyingfaulty software poor display quality single band wifi doesnt support 5ghz wifi band gyro sensor missing many dont go paid review tube
5,0,much lagging slow never purchase    lagging much slow waste hard earning money
6,0,worst   ever worst   seen  sceen quality color trash even old 5000 r  beat quality please never ever buy
7,0,slow performance  hang lot slow received replacement continues hang
8,0,dont buy  poor quality camera found box seal damage still  taking backwaste moneyphone slowdont buy amazonnow  started cheating customer make profit
9,0,worst camera quality worst camera quality like 2 megapixel camera photo worst slightly zoom photo see blurrypreviously used 13 megapixel amera  photo
10,0,5ghz wifi band 5ghz wifi band  miserable 2021 even previous   bought 2017 5ghz wifi big comedy
11,0,cheated dont received handset ejection pin manual
12,0,dont buy  m12  poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool customer  m12
13,1,one price segment unboxed phoneseems better one price segment nowjust checked camera voice seems  one thing heavy weight may due batteryhope  life upto expectation
15,0,worst  cheap quality material worst  low quality never expected kind   even though high end config doesnt look waycamera utterly disappointed never seen kind  recent past buy  bare returnrefund option according return policy replacement disappoints even advising dont waste money
16,0,average  battery heating charging using  data camera average 48 mp true look like 13 mp heavy weight thickness okay 6000 mah display   rage term technology display ratio overall average price
17,0,rubbish  want money back  total rubbish slowest respond camera  abruptly close youtube application itselfand  utter waste camera quality badnot happy producti want money back
18,1,perfect  price perfect   speed decent spec outstanding battery life look device also attractive trust company
19,0,recommended jiofiber user disappointing  manufactured 24ghz support  2021 13000 cost newer day 10000 value  also supporting dual bandi purchased   2018 support 5ghz band 2021 manufactured  support dual band shamefulthis cheating  mentioned detail  suggesting dont buy using jiofiber wifi
21,0,bad self camera self camera like 2 mega pixel
23,0,budget   specification pardisplay averagecamera quality okayit doesnt support 5ghz wifi mentioned anywhere please make sure buying
24,0,uiux worst user experience pathetic cheap  filled brim bloatware cant removeyoure better getting mi  far better uialso cant return garbage   dont list software issueill look installing lineage o degoogle  using thats easier said done
25,0,poor  name sake cam battery 48mp 6000mah coming reality poor weight  also almost 250gm smart  hard  top menu bar beside front cam responding sometimes
